Python工程师,上海浦东软件园汇智软件发展有限公司,上海,1-1.5万/月,2年经验,本科,http://jobs.51job.com/shanghai/78533782.html?s=01&t=0
Python开发工程师,上海崇杏健康管理咨询有限公司,上海,1-1.5万/月,1年经验,本科,http://jobs.51job.com/shanghai/88621984.html?s=01&t=0
Python开发工程师,上海量锐信息科技有限公司,上海-黄浦区,1.2-1.8万/月,无工作经验,本科,http://jobs.51job.com/shanghai-hpq/91387124.html?s=01&t=0
软件工程师/Python/高级开发工程师,内蒙古君正互联网小额贷款有限公司,上海-浦东新区,1.5-3万/月,1年经验,本科,http://jobs.51job.com/shanghai-pdxq/94171102.html?s=01&t=0
Python开发工程师,上海费芮网络科技有限公司,上海-徐汇区,,无工作经验,大专,http://jobs.51job.com/shanghai-xhq/91263703.html?s=01&t=0
C++/python开发工程师,大连东软思维科技发展有限公司,上海-闵行区,1.5-2万/月,5-7年经验,大专,http://jobs.51job.com/shanghai-mhq/95060215.html?s=01&t=0
python开发工程师--运维方向,深圳忆往昔金融科技有限公司,上海-徐汇区,1.5-2万/月,5-7年经验,,http://jobs.51job.com/shanghai-xhq/86671770.html?s=01&t=0
Python开发工程师,河北易骋云数据科技有限公司,上海-静安区,0.8-2.5万/月,2年经验,本科,http://jobs.51job.com/shanghai-jaq/95028964.html?s=01&t=0
高级Python软件工程师（服务端）,上海展卷信息科技有限公司,上海-黄浦区,1.2-2.4万/月,3-4年经验,本科,http://jobs.51job.com/shanghai-hpq/94168380.html?s=01&t=0
Python工程师,上海思华科技股份有限公司,上海-浦东新区,1.2-2.4万/月,无工作经验,本科,http://jobs.51job.com/shanghai-pdxq/95018145.html?s=01&t=0
Python开发工程师,上海果雪信息科技有限公司,上海-闵行区,1.5-2万/月,无工作经验,本科,http://jobs.51job.com/shanghai-mhq/91864116.html?s=01&t=0
00036-Python开发工程师,上海谷露软件有限公司,上海-黄浦区,2-3万/月,3-4年经验,本科,http://jobs.51job.com/shanghai-hpq/95015117.html?s=01&t=0
Python高级开发工程师（团队负责人）,上海飞田通信股份有限公司,上海,1.5-2万/月,无工作经验,,http://jobs.51job.com/shanghai/95000825.html?s=01&t=0
Python 高级开发工程师,上海亿保网络技术有限公司,上海-徐汇区,0.8-1.5万/月,2年经验,本科,http://jobs.51job.com/shanghai-xhq/95000784.html?s=01&t=0
Python资深开发工程师,上海典游通讯技术有限公司,上海,0.8-1.5万/月,3-4年经验,本科,http://jobs.51job.com/shanghai/94990618.html?s=01&t=0
初级Python后端工程师,上海浦东软件园信息技术股份有限公司,上海-浦东新区,0.5-1万/月,无工作经验,,http://jobs.51job.com/shanghai-pdxq/94045387.html?s=01&t=0
资深Python 开发工程师,东方财富信息股份有限公司,上海,,无工作经验,本科,http://jobs.51job.com/shanghai/88466739.html?s=01&t=0
Python开发工程师,上海房金所金融信息服务有限公司,上海-静安区,1-2万/月,无工作经验,本科,http://jobs.51job.com/shanghai-jaq/87958437.html?s=01&t=0
Python开发工程师,上海犀语科技有限公司,上海-杨浦区,1.5-2.5万/月,3-4年经验,大专,http://jobs.51job.com/shanghai-ypq/85776946.html?s=01&t=0
Python开发工程师,上海城置投资控股集团有限公司,上海-浦东新区,1.6-2.8万/月,3-4年经验,大专,http://jobs.51job.com/shanghai-pdxq/90524192.html?s=01&t=0
研发工程师(Python),北京天维信通科技有限公司上海分公司,上海-徐汇区,50-60万/年,无工作经验,大专,http://jobs.51job.com/shanghai-xhq/94310395.html?s=01&t=0
Python后端开发工程师,饿了么,上海-普陀区,1-1.5万/月,无工作经验,本科,http://jobs.51job.com/shanghai-ptq/86245554.html?s=01&t=0
Python自动化测试工程师,中腾信金融信息服务（上海）有限公司,上海-虹口区,1-1.5万/月,无工作经验,本科,http://jobs.51job.com/shanghai-hkq/88014403.html?s=01&t=0
SaaS Cloud Sr. Test Developer(Java/Python/Bash),甲骨文（中国）软件系统有限公司,上海-杨浦区,,5-7年经验,本科,http://jobs.51job.com/shanghai-ypq/94893194.html?s=01&t=0
高级后端Python开发工程师,宏居网络技术（上海）有限公司,上海,1.5-2.5万/月,3-4年经验,本科,http://jobs.51job.com/shanghai/93824169.html?s=01&t=0
"爬虫工程师/网络爬虫/JAVA,PYTHON",上海贝格计算机数据服务有限公司,上海-徐汇区,1-3万/月,3-4年经验,大专,http://jobs.51job.com/shanghai-xhq/93116020.html?s=01&t=0
python开发工程师,上海擎云物联网股份有限公司,上海-闵行区,6-8千/月,1年经验,大专,http://jobs.51job.com/shanghai-mhq/75138734.html?s=01&t=0
PYTHON应届毕业生,上海银贤信息科技有限公司,上海-普陀区,6-8千/月,无工作经验,大专,http://jobs.51job.com/shanghai-ptq/90827156.html?s=01&t=0
Python开发工程师,上海云茧网络科技有限公司,上海-闵行区,1.5-2万/月,2年经验,本科,http://jobs.51job.com/shanghai-mhq/94466727.html?s=01&t=0
Python软件研发经理,北京悦游信息技术有限公司,异地招聘,2-2.5万/月,5-7年经验,本科,http://jobs.51job.com/kunshan/91500280.html?s=01&t=0
数据分析与挖掘-python工程师-00410,卫宁健康科技集团股份有限公司,上海-静安区,1.5-2万/月,2年经验,本科,http://jobs.51job.com/shanghai-jaq/91125026.html?s=01&t=0
Python开发工程师,魔视智能科技（上海）有限公司,上海-浦东新区,1-2.5万/月,3-4年经验,本科,http://jobs.51job.com/shanghai-pdxq/94810987.html?s=01&t=0
Python研发工程师,上海岂安信息科技有限公司,上海-徐汇区,1.5-3万/月,1年经验,,http://jobs.51job.com/shanghai-xhq/72278079.html?s=01&t=0
Python中级开发工程师,上海金指软件技术有限公司,上海-浦东新区,1.2-1.8万/月,3-4年经验,本科,http://jobs.51job.com/shanghai-pdxq/89888826.html?s=01&t=0
Python工程师,上海游讯信息科技有限公司,异地招聘,1-1.5万/月,2年经验,,http://jobs.51job.com/kunshan/71187928.html?s=01&t=0
Python工程师（数据方向）,波罗蜜 全球购,上海-普陀区,1-1.5万/月,1年经验,本科,http://jobs.51job.com/shanghai-ptq/94878926.html?s=01&t=0
python后端开发工程师,上海六感科技有限公司,上海-闸北区,1.5-2.5万/月,3-4年经验,大专,http://jobs.51job.com/shanghai-zbq/92334333.html?s=01&t=0
Python开发工程师,北京众标智能科技有限公司,上海-徐汇区,1-1.5万/月,2年经验,,http://jobs.51job.com/shanghai-xhq/94462963.html?s=01&t=0
python开发工程师,上海东方低碳科技产业股份有限公司,上海-长宁区,0.8-1万/月,2年经验,大专,http://jobs.51job.com/shanghai-cnq/93382648.html?s=01&t=0
Python开发工程师,北京国双科技有限公司,上海-静安区,1-2万/月,无工作经验,,http://jobs.51job.com/shanghai-jaq/87538384.html?s=01&t=0
Python开发工程师（上海）,北京国双科技有限公司,上海,,无工作经验,,http://jobs.51job.com/shanghai/93360055.html?s=01&t=0
Python开发工程师,上海驻云信息科技有限公司,上海-浦东新区,1.2-1.8万/月,3-4年经验,大专,http://jobs.51job.com/shanghai-pdxq/85014051.html?s=01&t=0
Python高级开发工程师,上海复深蓝软件股份有限公司,上海-静安区,1.7-3.4万/月,5-7年经验,,http://jobs.51job.com/shanghai-jaq/94754242.html?s=01&t=0
Python Web 开发工程师（上海）,乐荐信息科技（北京）有限公司,上海-浦东新区,1.5-2万/月,1年经验,本科,http://jobs.51job.com/shanghai-pdxq/94221667.html?s=01&t=0
高级python开发工程师,有获网络科技（上海）有限公司,上海-闵行区,1.3-2万/月,无工作经验,,http://jobs.51job.com/shanghai-mhq/79224894.html?s=01&t=0
工具开发工程师(Python)J10718,展讯通信（上海）有限公司,上海-浦东新区,1.5-2万/月,3-4年经验,本科,http://jobs.51job.com/shanghai-pdxq/93417928.html?s=01&t=0
开发工程师（Python）,上海凭安征信服务有限公司,上海-长宁区,0.8-1.6万/月,2年经验,本科,http://jobs.51job.com/shanghai-cnq/91330368.html?s=01&t=0
python工程师,上海拍拍贷金融信息服务有限公司,上海,2-2.5万/月,无工作经验,本科,http://jobs.51job.com/shanghai/90305206.html?s=01&t=0
